 VL1  2 329.461 1072  8  5 15  199.17
 VL1  2 329.485 1072  9  6 53  199.05
 VL1  2 329.508 1072 10  8 32  201.86
 VL1  2 329.532 1072 11 10 11  206.50
 VL1  2 329.556 1072 12 11 49  213.14
 VL1  2 329.579 1072 13 13 28  220.03
 VL1  2 329.603 1072 14 15  7  225.93
 VL1  2 329.626 1072 15 16 45  230.10
 VL1  2 329.650 1072 16 18 24  228.19
 VL1  2 329.673 1072 17 20  2  226.31
 VL1  2 329.697 1072 18 21 41  224.43
 VL1  2 329.720 1072 19 23 19  220.45
 VL1  2 329.744 1072 20 24 58  217.59
 VL1  2 329.768 1072 21 26 36  214.64
 VL1  2 329.791 1072 22 28 15  213.83
 VL1  2 329.815 1072 23 29 53  210.79
 VL1  2 329.838 1072 24 31 32  209.99
 VL1  2 329.862 1073  0 53 35  207.96
 VL1  2 329.885 1073  1 55 14  205.82
 VL1  2 329.909 1073  2 56 52  205.93
 VL1  2 329.932 1073  3 58 31  205.03
 VL1  2 329.956 1073  5  0 10  204.02
 VL1  2 329.979 1073  6  1 48  203.00
 VL1  2 330.003 1073  7  3 27  203.00
 VL1  2 330.026 1073  8  5  5  201.98
 VL1  2 330.050 1073  9  6 44  203.12
 VL1  2 330.073 1073 10  8 22  204.80
 VL1  2 330.097 1073 11 10  1  209.45
 VL1  2 330.121 1073 12 11 39  216.11
 VL1  2 330.144 1073 13 13 18  224.04
 VL1  2 330.168 1073 14 14 56  229.96
 VL1  2 330.191 1073 15 16 35  234.06
 VL1  2 330.215 1073 16 18 13  233.16
 VL1  2 330.238 1073 17 19 52  231.18
 VL1  2 330.262 1073 18 21 30  228.27
 VL1  2 330.285 1073 19 23  9  225.29
 VL1  2 330.309 1073 20 24 47  222.48
 VL1  2 330.332 1073 21 26 27  219.52
 VL1  2 330.332 1073 21 26 46  219.52
 VL1  2 330.356 1073 22 28  5  216.57
 VL1  2 330.379 1073 23 29 44  214.64
 VL1  2 330.403 1073 24 31 22  212.61
 VL1  2 330.426 1074  0 53 25  211.80
 VL1  2 330.450 1074  1 55  4  209.77
 VL1  2 330.473 1074  2 56 42  208.86
 VL1  2 330.497 1074  3 58 21  206.83
 VL1  2 330.520 1074  5  0  0  205.82
 VL1  2 330.544 1074  6  1 38  204.91
 VL1  2 330.567 1074  7  3 17  203.90
 VL1  2 330.591 1074  8  4 55  204.02
 VL1  2 330.614 1074  9  6 34  203.90
 VL1  2 330.637 1074 10  8 12  205.70
 VL1  2 330.661 1074 11  9 51  209.45
